REALPROP,FSNETINC,TANF_IND,RAWERND,FSTOTDE2,SHELDED,FSTOTDED,FSSLTDE2,FSGA,FSWAGES,LIQRESOR,FSERNDE2,FSDIS,HWGT,FSSLTDED,FSASSET,CERTHHSZ,FSSSI,FSNELDER,WRK_POOR,FSERNDED,FSTANF,FSUNEARN,RAWNET,TPOV,FSUSIZE,FSEARN,FSSTDDE2,FSNONCIT,FSGRINC,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,92.0,1.0,40.0,577.0,398.0,577.0,398.0,0.0,200.0,0.0,60.0,0.0,749.4024203653986,398.0,0.0,4.0,0.0,0.0,1.0,40.0,469.0,469.0,92.0,40.0,4.0,200.0,209.0,0.0,669.0,1.0,0.0,1.0
0.0,756.0,0.0,0.0,134.0,23.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,952.088838139332,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,890.0,732.0,81.0,2.0,0.0,134.0,0.0,890.0,0.0,0.0,1.0
0.0,854.0,1.0,0.0,139.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,1.0,997.1766915079196,0.0,0.0,4.0,603.0,0.0,0.0,0.0,390.0,993.0,854.0,60.0,4.0,0.0,139.0,0.0,993.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,231.0,183.0,317.0,97.0,0.0,0.0,0.0,0.0,0.0,711.655694960853,183.0,0.0,1.0,0.0,0.0,0.0,0.0,231.0,231.0,0.0,28.0,1.0,0.0,115.0,0.0,231.0,1.0,0.0,1.0
0.0,0.0,0.0,47.0,537.0,417.0,626.0,328.0,0.0,237.0,11.0,0.0,0.0,747.4949387192786,417.0,11.0,5.0,0.0,0.0,1.0,47.0,0.0,300.0,0.0,28.0,5.0,237.0,153.0,0.0,537.0,0.0,0.0,1.0
0.0,858.0,0.0,0.0,286.0,152.0,286.0,152.0,0.0,0.0,0.0,0.0,1.0,984.6907159197356,152.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1144.0,858.0,104.0,2.0,0.0,201.0,0.0,1144.0,0.0,0.0,1.0
0.0,714.0,0.0,213.0,352.0,0.0,352.0,0.0,0.0,1066.0,0.0,213.0,0.0,951.534062604676,0.0,0.0,4.0,0.0,0.0,1.0,213.0,0.0,0.0,714.0,64.0,4.0,1066.0,139.0,0.0,1066.0,0.0,0.0,1.0
0.0,1112.0,0.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,1.0,1003.1651133253492,0.0,0.0,2.0,363.0,1.0,0.0,0.0,0.0,1246.0,1112.0,113.0,2.0,0.0,134.0,0.0,1246.0,1.0,0.0,1.0
0.0,114.0,0.0,0.0,489.0,350.0,489.0,350.0,0.0,0.0,0.0,0.0,1.0,755.9227959233921,350.0,0.0,4.0,603.0,0.0,0.0,0.0,0.0,603.0,114.0,36.0,4.0,0.0,209.0,0.0,603.0,0.0,0.0,1.0
0.0,202.0,0.0,181.0,701.0,388.0,701.0,387.0,0.0,903.0,0.0,270.0,0.0,777.946179776418,387.0,0.0,1.0,0.0,0.0,1.0,180.0,0.0,0.0,201.0,111.0,1.0,903.0,201.0,0.0,903.0,0.0,0.0,1.0
0.0,176.0,1.0,0.0,134.0,0.0,134.0,0.0,0.0,0.0,26.0,0.0,0.0,762.9979470141016,0.0,26.0,2.0,0.0,0.0,0.0,0.0,310.0,310.0,176.0,28.0,2.0,0.0,134.0,0.0,310.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,417.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,705.4012962642041,417.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1201.0,1.0,130.0,312.0,21.0,312.0,21.0,0.0,648.0,9.0,150.0,0.0,1138.7174720868086,21.0,9.0,5.0,0.0,0.0,1.0,129.0,320.0,865.0,1200.0,78.0,5.0,648.0,183.0,0.0,1513.0,1.0,0.0,1.0
0.0,364.0,0.0,0.0,259.0,125.0,259.0,125.0,0.0,0.0,992.0,0.0,0.0,830.1091842290721,125.0,992.0,1.0,312.0,1.0,0.0,0.0,0.0,623.0,363.0,76.0,1.0,0.0,201.0,0.0,623.0,1.0,0.0,1.0
0.0,45.0,0.0,0.0,517.0,405.0,517.0,383.0,0.0,0.0,0.0,0.0,0.0,726.8699045935958,383.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,562.0,0.0,69.0,1.0,0.0,201.0,0.0,562.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,402.0,343.0,477.0,268.0,0.0,0.0,419.0,0.0,0.0,711.655694960853,343.0,419.0,1.0,176.0,1.0,0.0,0.0,0.0,402.0,0.0,49.0,1.0,0.0,126.0,0.0,402.0,1.0,0.0,1.0
0.0,187.0,0.0,125.0,439.0,175.0,439.0,175.0,0.0,626.0,194.0,188.0,0.0,779.8308396397807,175.0,194.0,4.0,0.0,0.0,1.0,125.0,0.0,0.0,187.0,38.0,4.0,626.0,209.0,0.0,626.0,0.0,0.0,1.0
0.0,781.0,0.0,215.0,462.0,61.0,462.0,61.0,0.0,1075.0,0.0,276.0,0.0,973.2686478004877,61.0,0.0,4.0,0.0,0.0,1.0,215.0,0.0,168.0,781.0,75.0,4.0,1075.0,200.0,0.0,1243.0,0.0,0.0,1.0
